complaint_text,category,location,priority
Ambulance stuck in heavy traffic and needs immediate clearance,Traffic,Chennai,HIGH
Major accident blocking the main road,Traffic,Chennai,HIGH
Fire emergency reported near residential area,Traffic,Salem,HIGH
Dangerous traffic congestion blocking emergency vehicles,Traffic,Tambaram,HIGH
Traffic signal not working during peak hours,Traffic,Chennai,MEDIUM
Heavy traffic causing long delays,Traffic,Coimbatore,MEDIUM
Road signal malfunction reported,Traffic,Salem,MEDIUM
Vehicles are causing congestion near the junction,Traffic,Tambaram,MEDIUM
Minor traffic issue near the bus stand,Traffic,Salem,LOW
Street traffic sign is slightly damaged,Traffic,Chennai,LOW
Garbage dump creating serious health risk near houses,Waste,Chennai,HIGH
Waste collection has stopped and garbage is overflowing,Waste,Salem,HIGH
Large amount of garbage blocking the road,Waste,Coimbatore,HIGH
Garbage has not been collected for several days,Waste,Tambaram,MEDIUM
Waste bins are overflowing near the market,Waste,Chennai,MEDIUM
Garbage collection is delayed,Waste,Salem,MEDIUM
Dustbin is full and needs collection,Waste,Coimbatore,MEDIUM
Garbage pickup was missed today,Waste,Tambaram,LOW
Small amount of waste near the street,Waste,Salem,LOW
Dustbin needs routine cleaning,Waste,Chennai,LOW
Major water pipeline burst flooding the road,Water,Chennai,HIGH
Water leakage is causing flooding near houses,Water,Salem,HIGH
No drinking water available in the residential area,Water,Coimbatore,HIGH
Severe water shortage reported in the locality,Water,Tambaram,HIGH
Water pipeline leakage reported on the street,Water,Chennai,MEDIUM
Water supply is irregular,Water,Salem,MEDIUM
Public tap is leaking continuously,Water,Coimbatore,MEDIUM
Low water pressure in the neighborhood,Water,Tambaram,MEDIUM
Small tap leakage near the house,Water,Salem,LOW
Minor water supply issue reported,Water,Chennai,LOW
Electrical pole has fallen and live wires are exposed,Electricity,Chennai,HIGH
Major power failure affecting the entire area,Electricity,Salem,HIGH
Dangerous electrical wire hanging across the road,Electricity,Coimbatore,HIGH
Transformer failure causing complete power outage,Electricity,Tambaram,HIGH
Street lights are not working on a major road,Electricity,Chennai,MEDIUM
Power outage reported in the neighborhood,Electricity,Salem,MEDIUM
Several street lights are malfunctioning,Electricity,Coimbatore,MEDIUM
Electrical connection problem reported,Electricity,Tambaram,MEDIUM
One street light is not working,Electricity,Salem,LOW
Minor electrical maintenance required,Electricity,Chennai,LOW
Ambulance delayed because vehicles are blocking the emergency lane,Traffic,Coimbatore,HIGH
Traffic accident causing complete road blockage,Traffic,Salem,HIGH
Emergency vehicle unable to pass due to severe congestion,Traffic,Chennai,HIGH
Broken traffic signal creating a dangerous intersection,Traffic,Tambaram,HIGH
Traffic jam completely blocking access to the hospital,Traffic,Coimbatore,HIGH
